id,food_name,portion_label,portion_grams,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sodium_mg_per_100g,is_vegan,is_vegetarian,is_gluten_free,allergens,image_r,image_g,image_b,brightness
229,Greek Yogurt Bowl,1 bowl,173,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,230,221,200,217
230,Tofu Stir Fry,1 bowl,213,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,161,143,113,139
231,Lentil Soup,1 bowl,244,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,175,115,68,119
232,Beef Steak,1 steak,183,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,143,73,62,93
233,Banana Smoothie,1 glass,304,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,231,212,138,194
234,Quinoa Bowl,1 bowl,203,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,203,186,139,176
235,Pasta Alfredo,1 plate,284,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,231,208,169,203
236,Veggie Burger,1 burger,223,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,167,118,83,123
237,Sushi Roll,8 pieces,254,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,226,218,205,216
238,Fruit Bowl,1 bowl,223,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,209,143,101,151
239,Idli Sambar,3 idlis,264,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,217,197,164,193
240,Peanut Butter Sandwich,1 sandwich,152,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,181,139,93,138
241,Grilled Chicken Breast,1 serving,155,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,168,137,104,136
242,Brown Rice,1 bowl,185,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,197,180,134,170
243,Mixed Salad,1 bowl,124,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,94,154,86,111
244,Paneer Curry,1 bowl,206,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,184,124,85,131
245,Chapati,2 pieces,82,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,200,162,114,159
246,Omelette,2 eggs,113,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,219,193,108,173
247,Salmon Fillet,1 fillet,165,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,224,144,123,164
248,Avocado Toast,1 slice,144,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,147,181,104,144
249,Greek Yogurt Bowl,1 bowl,175,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,228,228,205,220
250,Tofu Stir Fry,1 bowl,216,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,159,150,118,142
251,Lentil Soup,1 bowl,247,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,173,122,73,123
252,Beef Steak,1 steak,185,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,141,80,67,96
253,Banana Smoothie,1 glass,309,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,229,219,143,197
254,Quinoa Bowl,1 bowl,206,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,201,193,144,179
255,Pasta Alfredo,1 plate,288,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,229,215,174,206
256,Veggie Burger,1 burger,227,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,165,125,88,126
257,Sushi Roll,8 pieces,258,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,224,225,210,220
258,Fruit Bowl,1 bowl,227,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,207,150,106,154
259,Idli Sambar,3 idlis,268,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,215,204,169,196
260,Peanut Butter Sandwich,1 sandwich,155,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,179,146,98,141
261,Grilled Chicken Breast,1 serving,146,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,166,133,100,133
262,Brown Rice,1 bowl,175,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,195,176,130,167
263,Mixed Salad,1 bowl,116,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,92,150,82,108
264,Paneer Curry,1 bowl,194,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,182,120,81,128
265,Chapati,2 pieces,78,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,198,158,110,155
266,Omelette,2 eggs,107,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,217,189,104,170
267,Salmon Fillet,1 fillet,155,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,222,140,119,160
268,Avocado Toast,1 slice,136,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,145,177,100,141
269,Greek Yogurt Bowl,1 bowl,165,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,226,224,201,217
270,Tofu Stir Fry,1 bowl,204,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,157,146,114,139
271,Lentil Soup,1 bowl,233,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,171,118,69,119
272,Beef Steak,1 steak,175,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,139,76,63,93
273,Banana Smoothie,1 glass,291,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,227,215,139,194
274,Quinoa Bowl,1 bowl,194,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,199,189,140,176
275,Pasta Alfredo,1 plate,272,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,227,211,170,203
276,Veggie Burger,1 burger,213,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,163,121,84,123
277,Sushi Roll,8 pieces,243,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,222,221,206,216
278,Fruit Bowl,1 bowl,213,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,205,146,102,151
279,Idli Sambar,3 idlis,252,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,213,200,165,193
280,Peanut Butter Sandwich,1 sandwich,146,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,177,142,94,138
281,Grilled Chicken Breast,1 serving,148,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,177,140,105,141
282,Brown Rice,1 bowl,177,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,206,183,135,175
283,Mixed Salad,1 bowl,118,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,103,157,87,116
284,Paneer Curry,1 bowl,197,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,193,127,86,135
285,Chapati,2 pieces,79,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,209,165,115,163
286,Omelette,2 eggs,108,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,228,196,109,178
287,Salmon Fillet,1 fillet,158,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,233,147,124,168
288,Avocado Toast,1 slice,138,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,156,184,105,148
289,Greek Yogurt Bowl,1 bowl,167,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,237,231,206,225
290,Tofu Stir Fry,1 bowl,207,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,168,153,119,147
291,Lentil Soup,1 bowl,236,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,182,125,74,127
292,Beef Steak,1 steak,177,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,150,83,68,100
293,Banana Smoothie,1 glass,296,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,238,222,144,201
294,Quinoa Bowl,1 bowl,197,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,210,196,145,184
295,Pasta Alfredo,1 plate,276,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,238,218,175,210
296,Veggie Burger,1 burger,217,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,174,128,89,130
297,Sushi Roll,8 pieces,246,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,233,228,211,224
298,Fruit Bowl,1 bowl,217,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,216,153,107,159
299,Idli Sambar,3 idlis,256,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,224,207,170,200
300,Peanut Butter Sandwich,1 sandwich,148,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,188,149,99,145
301,Grilled Chicken Breast,1 serving,150,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,175,136,101,137
302,Brown Rice,1 bowl,180,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,204,179,131,171
303,Mixed Salad,1 bowl,120,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,101,153,83,112
304,Paneer Curry,1 bowl,200,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,191,123,82,132
305,Chapati,2 pieces,80,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,207,161,111,160
306,Omelette,2 eggs,110,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,226,192,105,174
307,Salmon Fillet,1 fillet,160,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,231,143,120,165
308,Avocado Toast,1 slice,140,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,154,180,101,145
309,Greek Yogurt Bowl,1 bowl,170,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,235,227,202,221
310,Tofu Stir Fry,1 bowl,210,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,166,149,115,143
311,Lentil Soup,1 bowl,240,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,180,121,70,124
312,Beef Steak,1 steak,180,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,148,79,64,97
313,Banana Smoothie,1 glass,300,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,236,218,140,198
314,Quinoa Bowl,1 bowl,200,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,208,192,141,180
315,Pasta Alfredo,1 plate,280,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,236,214,171,207
316,Veggie Burger,1 burger,220,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,172,124,85,127
317,Sushi Roll,8 pieces,250,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,231,224,207,221
318,Fruit Bowl,1 bowl,220,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,214,149,103,155
319,Idli Sambar,3 idlis,260,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,222,203,166,197
320,Peanut Butter Sandwich,1 sandwich,150,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,186,145,95,142
321,Grilled Chicken Breast,1 serving,152,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,173,132,106,137
322,Brown Rice,1 bowl,183,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,202,175,136,171
323,Mixed Salad,1 bowl,122,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,99,149,88,112
324,Paneer Curry,1 bowl,203,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,189,119,87,132
325,Chapati,2 pieces,81,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,205,157,116,159
326,Omelette,2 eggs,112,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,224,188,110,174
327,Salmon Fillet,1 fillet,162,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,229,139,125,164
328,Avocado Toast,1 slice,142,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,152,176,106,145
329,Greek Yogurt Bowl,1 bowl,173,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,233,223,207,221
330,Tofu Stir Fry,1 bowl,213,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,164,145,120,143
331,Lentil Soup,1 bowl,244,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,178,117,75,123
332,Beef Steak,1 steak,183,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,146,75,69,97
333,Banana Smoothie,1 glass,304,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,234,214,145,198
334,Quinoa Bowl,1 bowl,203,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,206,188,146,180
335,Pasta Alfredo,1 plate,284,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,234,210,176,207
336,Veggie Burger,1 burger,223,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,170,120,90,127
337,Sushi Roll,8 pieces,254,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,229,220,212,220
338,Fruit Bowl,1 bowl,223,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,212,145,108,155
339,Idli Sambar,3 idlis,264,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,220,199,171,197
340,Peanut Butter Sandwich,1 sandwich,152,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,184,141,100,142
341,Grilled Chicken Breast,1 serving,155,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,171,139,102,137
342,Brown Rice,1 bowl,185,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,200,182,132,171
343,Mixed Salad,1 bowl,124,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,97,156,84,112
344,Paneer Curry,1 bowl,206,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,187,126,83,132
345,Chapati,2 pieces,82,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,203,164,112,160
346,Omelette,2 eggs,113,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,222,195,106,174
347,Salmon Fillet,1 fillet,165,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,227,146,121,165
348,Avocado Toast,1 slice,144,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,150,183,102,145
349,Greek Yogurt Bowl,1 bowl,175,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,231,230,203,221
350,Tofu Stir Fry,1 bowl,216,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,162,152,116,143
351,Lentil Soup,1 bowl,247,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,176,124,71,124
352,Beef Steak,1 steak,185,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,144,82,65,97
353,Banana Smoothie,1 glass,309,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,232,221,141,198
354,Quinoa Bowl,1 bowl,206,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,204,195,142,180
355,Pasta Alfredo,1 plate,288,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,232,217,172,207
356,Veggie Burger,1 burger,227,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,168,127,86,127
357,Sushi Roll,8 pieces,258,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,227,227,208,221
358,Fruit Bowl,1 bowl,227,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,210,152,104,155
359,Idli Sambar,3 idlis,268,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,218,206,167,197
360,Peanut Butter Sandwich,1 sandwich,155,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,182,148,96,142
361,Grilled Chicken Breast,1 serving,146,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,169,135,98,134
362,Brown Rice,1 bowl,175,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,198,178,128,168
363,Mixed Salad,1 bowl,116,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,95,152,80,109
364,Paneer Curry,1 bowl,194,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,185,122,79,129
365,Chapati,2 pieces,78,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,201,160,108,156
366,Omelette,2 eggs,107,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,220,191,102,171
367,Salmon Fillet,1 fillet,155,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,225,142,117,161
368,Avocado Toast,1 slice,136,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,148,179,98,142
369,Greek Yogurt Bowl,1 bowl,165,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,229,226,199,218
370,Tofu Stir Fry,1 bowl,204,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,160,148,112,140
371,Lentil Soup,1 bowl,233,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,174,120,67,120
372,Beef Steak,1 steak,175,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,142,78,61,94
373,Banana Smoothie,1 glass,291,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,230,217,137,195
374,Quinoa Bowl,1 bowl,194,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,202,191,138,177
375,Pasta Alfredo,1 plate,272,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,230,213,168,204
376,Veggie Burger,1 burger,213,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,166,123,82,124
377,Sushi Roll,8 pieces,243,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,225,223,204,217
378,Fruit Bowl,1 bowl,213,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,208,148,100,152
379,Idli Sambar,3 idlis,252,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,216,202,163,194
380,Peanut Butter Sandwich,1 sandwich,146,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,180,144,92,139
381,Grilled Chicken Breast,1 serving,148,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,167,131,103,134
382,Brown Rice,1 bowl,177,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,196,174,133,168
383,Mixed Salad,1 bowl,118,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,93,148,85,109
384,Paneer Curry,1 bowl,197,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,183,118,84,128
385,Chapati,2 pieces,79,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,199,156,113,156
386,Omelette,2 eggs,108,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,218,187,107,171
387,Salmon Fillet,1 fillet,158,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,223,138,122,161
388,Avocado Toast,1 slice,138,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,146,175,103,141
389,Greek Yogurt Bowl,1 bowl,167,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,227,222,204,218
390,Tofu Stir Fry,1 bowl,207,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,158,144,117,140
391,Lentil Soup,1 bowl,236,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,172,116,72,120
392,Beef Steak,1 steak,177,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,140,74,66,93
393,Banana Smoothie,1 glass,296,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,228,213,142,194
394,Quinoa Bowl,1 bowl,197,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,200,187,143,177
395,Pasta Alfredo,1 plate,276,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,228,209,173,203
396,Veggie Burger,1 burger,217,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,164,119,87,123
397,Sushi Roll,8 pieces,246,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,223,219,209,217
398,Fruit Bowl,1 bowl,217,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,206,144,105,152
399,Idli Sambar,3 idlis,256,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,214,198,168,193
400,Peanut Butter Sandwich,1 sandwich,148,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,178,140,97,138
401,Grilled Chicken Breast,1 serving,150,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,178,138,99,138
402,Brown Rice,1 bowl,180,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,207,181,129,172
403,Mixed Salad,1 bowl,120,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,104,155,81,113
404,Paneer Curry,1 bowl,200,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,194,125,80,133
405,Chapati,2 pieces,80,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,210,163,109,161
406,Omelette,2 eggs,110,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,229,194,103,175
407,Salmon Fillet,1 fillet,160,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,234,145,118,166
408,Avocado Toast,1 slice,140,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,157,182,99,146
409,Greek Yogurt Bowl,1 bowl,170,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,238,229,200,222
410,Tofu Stir Fry,1 bowl,210,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,169,151,113,144
411,Lentil Soup,1 bowl,240,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,183,123,68,125
412,Beef Steak,1 steak,180,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,151,81,62,98
413,Banana Smoothie,1 glass,300,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,239,220,138,199
414,Quinoa Bowl,1 bowl,200,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,211,194,139,181
415,Pasta Alfredo,1 plate,280,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,239,216,169,208
416,Veggie Burger,1 burger,220,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,175,126,83,128
417,Sushi Roll,8 pieces,250,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,234,226,205,222
418,Fruit Bowl,1 bowl,220,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,217,151,101,156
419,Idli Sambar,3 idlis,260,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,225,205,164,198
420,Peanut Butter Sandwich,1 sandwich,150,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,189,147,93,143
421,Grilled Chicken Breast,1 serving,152,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,176,134,104,138
422,Brown Rice,1 bowl,183,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,205,177,134,172
423,Mixed Salad,1 bowl,122,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,102,151,86,113
424,Paneer Curry,1 bowl,203,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,192,121,85,133
425,Chapati,2 pieces,81,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,208,159,114,160
426,Omelette,2 eggs,112,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,227,190,108,175
427,Salmon Fillet,1 fillet,162,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,232,141,123,165
428,Avocado Toast,1 slice,142,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,155,178,104,146
429,Greek Yogurt Bowl,1 bowl,173,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,236,225,205,222
430,Tofu Stir Fry,1 bowl,213,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,167,147,118,144
431,Lentil Soup,1 bowl,244,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,181,119,73,124
432,Beef Steak,1 steak,183,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,149,77,67,98
433,Banana Smoothie,1 glass,304,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,237,216,143,199
434,Quinoa Bowl,1 bowl,203,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,209,190,144,181
435,Pasta Alfredo,1 plate,284,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,237,212,174,208
436,Veggie Burger,1 burger,223,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,173,122,88,128
437,Sushi Roll,8 pieces,254,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,232,222,210,221
438,Fruit Bowl,1 bowl,223,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,215,147,106,156
439,Idli Sambar,3 idlis,264,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,223,201,169,198
440,Peanut Butter Sandwich,1 sandwich,152,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,187,143,98,143
441,Grilled Chicken Breast,1 serving,155,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,174,130,100,135
442,Brown Rice,1 bowl,185,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,203,173,130,169
443,Mixed Salad,1 bowl,124,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,100,147,82,110
444,Paneer Curry,1 bowl,206,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,190,117,81,129
445,Chapati,2 pieces,82,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,206,155,110,157
446,Omelette,2 eggs,113,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,225,186,104,172
447,Salmon Fillet,1 fillet,165,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,230,137,119,162
448,Avocado Toast,1 slice,144,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,153,174,100,142
449,Greek Yogurt Bowl,1 bowl,175,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,234,221,201,219
450,Tofu Stir Fry,1 bowl,216,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,165,143,114,141
451,Lentil Soup,1 bowl,247,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,179,115,69,121
452,Beef Steak,1 steak,185,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,147,73,63,94
453,Banana Smoothie,1 glass,309,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,235,212,139,195
454,Quinoa Bowl,1 bowl,206,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,207,186,140,178
455,Pasta Alfredo,1 plate,288,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,235,208,170,204
456,Veggie Burger,1 burger,227,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,171,118,84,124
457,Sushi Roll,8 pieces,258,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,230,218,206,218
458,Fruit Bowl,1 bowl,227,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,213,143,102,153
